person_name,acct_num,card_company,card_number,txn_datetime,merch_name,merch_cat,txn_amount,currency,pay_meth,city,txn_type,bill_cyc,txn_status
frankmccoy,GB71QSDA02748013321196,chhupay,6011602067784048,2025-02-25 23:12:39,Lenskart,Electronics,90743.45,INR,Mobile Payment,South Kathleenshire,Purchase,May,Declined
psalas,GB29XONL79435543987420,Maestro,3530726579515571,2025-05-17 18:22:06,Westside,Electronics,10770.00,INR,Debit Card,Lake Richardberg,Refund,December,Pending
bmoreno,GB28XNXE79807240980968,Maestro,2709434301961653,2025-04-27 19:28:34,Central,Dining,71645.11,INR,Credit Card,North Whitney,Purchase,March,Approved
wardrobin,GB59DIXU42840100811569,VISA,4187278713633815,2025-02-18 06:26:03,Shoppers Stop,Travel,73225.59,INR,Credit Card,Lake Reginaldfort,Purchase,June,Declined
shortelizabeth,GB43SZFG60314137489435,rupay,6539753584992342,2025-10-06 07:41:28,Zivame,Dining,46590.06,INR,Debit Card,Port Chris,Purchase,February,Reversed
tomsolis,GB75XTPC52675190076063,rupay,4567556535822538,2025-05-01 04:16:49,Pepperfry,Clothing,84880.05,INR,Mobile Payment,West Josephview,Purchase,May,Pending
ashley19,GB31YCLK12568819290747,Discover,3562591287390746,2025-02-14 05:49:44,JioMart,Travel,32203.77,INR,RTGS,New Dianeberg,Deposit,March,Pending
ronald47,GB20HGFA19587172177770,VISA,3511922716360202,2025-05-29 05:54:03,Trends,Electronics,47191.31,INR,Credit Card,Johnberg,Deposit,November,Approved
lparker,GB16QJZT44172658160344,Diners Club,2273806179210238,2025-02-10 13:32:45,Westside,Dining,44460.52,INR,Debit Card,Michaelahaven,Deposit,February,Pending
laura08,GB42MZPD31719649792698,Mastercard,3545931447006356,2025-04-27 08:23:04,Brand Factory,Health,22172.95,INR,Credit Card,Elliottmouth,Refund,April,Declined
yvelez,GB79MTTB14670233240759,rupay,501881542648,2025-01-06 12:08:06,Snapdeal,Travel,73801.71,INR,UPI,North Leviberg,Deposit,December,Declined
jacobspamela,GB68ZYJR71618157861396,rupay,3567266204008565,2025-09-20 12:45:47,Zivame,Electronics,21109.58,INR,Debit Card,Jessehaven,Withdrawal,June,Declined
christopher60,GB20LTHR72178886770711,Discover,2720296171787921,2025-03-27 05:32:53,Pantaloons,Dining,30555.51,INR,Credit Card,Jameschester,Refund,December,Declined
